dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	6434	6433	5801	6434	0
9	0.001	6434	6427	5801	6434	9
18	0.002	6434	6422	5801	6433	18
27	0.004	6434	6416	5801	6434	27
36	0.005	6434	6415	5801	6434	36
45	0.006	6434	6406	5801	6433	45
54	0.008	6434	6401	5801	6433	53
63	0.009	6434	6392	5801	6433	62
72	0.01	6434	6395	5801	6432	70
81	0.012	6434	6386	5801	6430	79
90	0.013	6434	6374	5801	6430	87
99	0.015	6434	6372	5801	6430	97
108	0.016	6434	6357	5801	6432	106
117	0.017	6434	6360	5801	6431	114
126	0.018	6434	6363	5801	6431	122
135	0.02	6434	6365	5801	6434	134
144	0.021	6434	6356	5801	6433	137
153	0.023	6434	6348	5801	6432	152
162	0.025	6434	6324	5801	6433	161
171	0.025	6434	6332	5801	6432	165
180	0.027	6434	6332	5801	6431	178
189	0.028	6434	6318	5801	6429	186
198	0.03	6434	6320	5801	6425	196
207	0.03	6434	6304	5801	6427	199
216	0.032	6434	6308	5801	6430	211
225	0.034	6434	6310	5801	6428	220
234	0.035	6434	6291	5801	6427	229
243	0.036	6434	6290	5801	6428	236
252	0.037	6434	6278	5801	6425	244
261	0.039	6434	6272	5801	6429	255
270	0.04	6434	6271	5801	6420	262
280	0.04	6434	6266	5801	6424	263
289	0.043	6434	6262	5801	6426	279
298	0.044	6434	6260	5801	6429	285
307	0.045	6434	6265	5801	6427	293
316	0.046	6434	6245	5801	6426	301
325	0.048	6434	6250	5801	6423	310
334	0.049	6434	6245	5801	6427	316
343	0.051	6434	6228	5801	6430	331
352	0.052	6434	6235	5801	6428	339
361	0.052	6434	6248	5801	6423	338
370	0.056	6434	6212	5801	6426	362
379	0.056	6434	6219	5801	6422	361
388	0.056	6434	6208	5801	6421	364
397	0.059	6434	6200	5801	6427	380
406	0.06	6434	6189	5801	6424	391
415	0.059	6434	6198	5801	6419	384
424	0.063	6434	6170	5801	6423	406
433	0.064	6434	6184	5801	6424	415
442	0.065	6434	6182	5801	6427	422
451	0.065	6434	6192	5801	6421	422
460	0.068	6434	6157	5801	6426	439
469	0.068	6434	6143	5801	6425	443
478	0.071	6434	6154	5801	6425	458
487	0.07	6434	6161	5801	6424	455
496	0.071	6434	6133	5801	6419	463
505	0.074	6434	6137	5801	6416	479
514	0.075	6434	6141	5801	6427	487
523	0.076	6434	6132	5801	6423	494
532	0.076	6434	6139	5801	6414	492
541	0.079	6434	6101	5801	6416	514
551	0.081	6434	6120	5801	6420	523
560	0.081	6434	6121	5801	6416	524
569	0.084	6434	6120	5801	6422	543
578	0.083	6434	6110	5801	6420	540
587	0.085	6434	6136	5801	6420	549
596	0.087	6434	6090	5801	6418	563
605	0.087	6434	6089	5801	6418	562
614	0.089	6434	6090	5801	6419	573
623	0.09	6434	6085	5801	6418	585
632	0.092	6434	6088	5801	6417	592
641	0.091	6434	6093	5801	6415	589
650	0.093	6434	6081	5801	6423	599
659	0.096	6434	6070	5801	6424	623
668	0.097	6434	6058	5801	6417	625
677	0.097	6434	6065	5801	6421	626
686	0.099	6434	6059	5801	6420	643
695	0.101	6434	6058	5801	6416	656
704	0.101	6434	6040	5801	6415	654
713	0.103	6434	6052	5801	6413	664
722	0.104	6434	6049	5801	6415	672
731	0.107	6434	6005	5801	6417	691
740	0.105	6434	6041	5801	6423	677
749	0.106	6434	6017	5801	6412	686
