dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	15235	15235	10315	15235	0
38	0.002	15235	15217	10315	15232	37
77	0.004	15235	15212	10315	15231	75
115	0.007	15235	15188	10315	15230	112
154	0.009	15235	15175	10315	15230	145
193	0.011	15235	15153	10315	15225	180
231	0.013	15235	15134	10315	15226	213
270	0.016	15235	15142	10315	15223	244
308	0.018	15235	15112	10315	15221	276
347	0.02	15235	15084	10315	15218	310
386	0.022	15235	15063	10315	15223	340
424	0.024	15235	15069	10315	15223	370
463	0.026	15235	15038	10315	15217	397
501	0.028	15235	15030	10315	15213	427
540	0.03	15235	15043	10315	15216	458
579	0.032	15235	15005	10315	15217	490
617	0.033	15235	15001	10315	15215	517
656	0.035	15235	14974	10315	15214	546
694	0.037	15235	14958	10315	15216	575
733	0.039	15235	14953	10315	15214	599
772	0.04	15235	14917	10315	15204	621
810	0.042	15235	14906	10315	15211	645
849	0.043	15235	14912	10315	15205	668
887	0.045	15235	14887	10315	15205	691
926	0.047	15235	14849	10315	15203	721
965	0.049	15235	14834	10315	15200	748
1003	0.05	15235	14833	10315	15203	769
1042	0.052	15235	14836	10315	15200	796
1080	0.054	15235	14810	10315	15199	828
1119	0.055	15235	14771	10315	15188	851
1158	0.057	15235	14758	10315	15181	880
1196	0.059	15235	14776	10315	15189	907
1235	0.061	15235	14749	10315	15191	934
1273	0.063	15235	14714	10315	15178	960
1312	0.064	15235	14730	10315	15183	985
1351	0.066	15235	14686	10315	15186	1009
1389	0.067	15235	14698	10315	15179	1034
1428	0.069	15235	14618	10315	15161	1057
1466	0.071	15235	14609	10315	15177	1082
1505	0.072	15235	14622	10315	15179	1107
1544	0.074	15235	14607	10315	15176	1133
1582	0.075	15235	14609	10315	15174	1157
1621	0.077	15235	14611	10315	15181	1186
1659	0.079	15235	14559	10315	15171	1210
1698	0.08	15235	14516	10315	15167	1234
1737	0.082	15235	14531	10315	15165	1254
1775	0.083	15235	14495	10315	15167	1279
1814	0.085	15235	14500	10315	15156	1301
1852	0.086	15235	14440	10315	15144	1320
1891	0.088	15235	14466	10315	15158	1344
1930	0.089	15235	14473	10315	15169	1369
1968	0.091	15235	14446	10315	15157	1387
2007	0.092	15235	14435	10315	15167	1409
2045	0.093	15235	14405	10315	15157	1429
2084	0.095	15235	14388	10315	15152	1451
2123	0.096	15235	14409	10315	15156	1469
2161	0.098	15235	14341	10315	15155	1497
2200	0.099	15235	14359	10315	15157	1519
2238	0.101	15235	14316	10315	15159	1543
2277	0.102	15235	14332	10315	15149	1564
2316	0.103	15235	14318	10315	15159	1584
2354	0.105	15235	14288	10315	15138	1602
2393	0.106	15235	14286	10315	15142	1629
2431	0.108	15235	14245	10315	15147	1647
2470	0.109	15235	14243	10315	15152	1666
2509	0.11	15235	14213	10315	15142	1687
2547	0.112	15235	14223	10315	15146	1712
2586	0.113	15235	14160	10315	15120	1734
2624	0.115	15235	14185	10315	15136	1755
2663	0.117	15235	14180	10315	15140	1783
2702	0.118	15235	14131	10315	15141	1808
2740	0.119	15235	14153	10315	15128	1827
2779	0.121	15235	14158	10315	15139	1853
2817	0.123	15235	14080	10315	15137	1878
2856	0.124	15235	14116	10315	15114	1900
2895	0.126	15235	14067	10315	15116	1922
2933	0.127	15235	14035	10315	15130	1946
2972	0.129	15235	14063	10315	15118	1966
3010	0.13	15235	14044	10315	15127	1992
3049	0.132	15235	14070	10315	15124	2019
3088	0.133	15235	14043	10315	15135	2039
3126	0.135	15235	14000	10315	15113	2060
3165	0.136	15235	13937	10315	15110	2073
3203	0.137	15235	13972	10315	15111	2095
3242	0.139	15235	13908	10315	15105	2124
3281	0.14	15235	13905	10315	15110	2145
3319	0.141	15235	13933	10315	15118	2158
3358	0.142	15235	13855	10315	15110	2177
3396	0.144	15235	13898	10315	15106	2196
3435	0.145	15235	13863	10315	15103	2220
3474	0.147	15235	13825	10315	15115	2242
3512	0.148	15235	13883	10315	15116	2265
3551	0.15	15235	13828	10315	15093	2287
3589	0.151	15235	13798	10315	15102	2308
3628	0.152	15235	13803	10315	15105	2324
3667	0.154	15235	13775	10315	15106	2347
3705	0.155	15235	13757	10315	15109	2373
3744	0.157	15235	13750	10315	15103	2393
