dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	5416	5416	5171	5416	0
6	0.001	5416	5412	5171	5416	6
13	0.002	5416	5410	5171	5416	13
19	0.003	5416	5403	5171	5416	19
26	0.004	5416	5400	5171	5416	26
33	0.006	5416	5395	5171	5416	33
39	0.007	5416	5388	5171	5414	39
46	0.008	5416	5380	5171	5415	46
52	0.009	5416	5380	5171	5414	52
59	0.01	5416	5366	5171	5412	59
66	0.012	5416	5366	5171	5413	66
72	0.013	5416	5355	5171	5413	72
79	0.014	5416	5363	5171	5414	77
85	0.015	5416	5352	5171	5413	85
92	0.016	5416	5354	5171	5415	91
99	0.018	5416	5350	5171	5413	98
105	0.019	5416	5331	5171	5413	105
112	0.02	5416	5331	5171	5413	112
119	0.021	5416	5324	5171	5412	116
125	0.022	5416	5328	5171	5415	122
132	0.024	5416	5310	5171	5413	131
138	0.025	5416	5317	5171	5413	136
145	0.026	5416	5311	5171	5412	143
152	0.027	5416	5309	5171	5410	149
158	0.028	5416	5292	5171	5413	156
165	0.03	5416	5296	5171	5412	165
171	0.031	5416	5301	5171	5413	169
178	0.032	5416	5302	5171	5414	174
185	0.033	5416	5303	5171	5412	181
191	0.034	5416	5282	5171	5412	189
198	0.036	5416	5263	5171	5409	195
204	0.036	5416	5272	5171	5413	200
211	0.038	5416	5270	5171	5412	207
218	0.038	5416	5268	5171	5409	211
224	0.04	5416	5262	5171	5406	219
231	0.042	5416	5257	5171	5413	228
238	0.043	5416	5250	5171	5410	233
244	0.044	5416	5249	5171	5409	239
251	0.046	5416	5233	5171	5413	250
257	0.045	5416	5235	5171	5406	247
264	0.048	5416	5222	5171	5404	262
271	0.048	5416	5221	5171	5405	265
277	0.05	5416	5225	5171	5407	276
284	0.051	5416	5215	5171	5406	279
290	0.052	5416	5220	5171	5413	282
297	0.054	5416	5205	5171	5410	295
304	0.053	5416	5205	5171	5410	292
310	0.055	5416	5188	5171	5411	303
317	0.056	5416	5180	5171	5406	308
323	0.058	5416	5180	5171	5410	316
330	0.059	5416	5187	5171	5408	322
337	0.06	5416	5180	5171	5411	327
343	0.061	5416	5186	5171	5404	335
350	0.063	5416	5165	5171	5401	343
357	0.064	5416	5187	5171	5412	347
363	0.065	5416	5165	5171	5408	354
370	0.066	5416	5166	5171	5400	358
376	0.067	5416	5159	5171	5404	363
383	0.069	5416	5160	5171	5405	378
390	0.07	5416	5143	5171	5404	383
396	0.071	5416	5156	5171	5404	387
403	0.072	5416	5148	5171	5401	394
409	0.073	5416	5137	5171	5407	397
416	0.075	5416	5133	5171	5406	409
423	0.075	5416	5103	5171	5408	408
429	0.075	5416	5122	5171	5410	411
436	0.078	5416	5117	5171	5400	425
443	0.079	5416	5123	5171	5409	428
449	0.081	5416	5110	5171	5405	441
456	0.082	5416	5097	5171	5404	445
462	0.083	5416	5093	5171	5403	453
469	0.084	5416	5086	5171	5404	460
476	0.083	5416	5086	5171	5398	451
482	0.086	5416	5092	5171	5400	469
489	0.088	5416	5093	5171	5404	478
495	0.089	5416	5064	5171	5402	484
502	0.09	5416	5070	5171	5403	489
509	0.09	5416	5069	5171	5402	490
515	0.093	5416	5084	5171	5405	505
522	0.093	5416	5071	5171	5401	507
528	0.095	5416	5050	5171	5399	517
535	0.096	5416	5058	5171	5401	522
542	0.097	5416	5056	5171	5403	529
548	0.097	5416	5027	5171	5399	530
555	0.1	5416	5039	5171	5397	543
562	0.099	5416	5046	5171	5390	541
568	0.1	5416	5027	5171	5398	546
575	0.101	5416	5032	5171	5398	552
581	0.104	5416	5030	5171	5402	567
588	0.103	5416	5025	5171	5407	563
595	0.104	5416	5012	5171	5400	567
601	0.106	5416	5008	5171	5407	578
608	0.108	5416	5012	5171	5400	589
614	0.109	5416	5009	5171	5407	595
621	0.109	5416	4984	5171	5402	595
628	0.112	5416	4999	5171	5400	608
634	0.113	5416	4986	5171	5397	616
641	0.114	5416	4981	5171	5402	621
647	0.115	5416	4979	5171	5399	624
654	0.116	5416	4974	5171	5396	631
661	0.116	5416	4998	5171	5398	633
667	0.116	5416	4992	5171	5401	632
674	0.118	5416	4983	5171	5394	644
681	0.12	5416	4957	5171	5401	653
687	0.122	5416	4948	5171	5393	663
694	0.122	5416	4969	5171	5402	661
700	0.125	5416	4946	5171	5393	677
707	0.125	5416	4935	5171	5395	677
714	0.124	5416	4938	5171	5402	674
720	0.128	5416	4933	5171	5403	696
727	0.128	5416	4930	5171	5401	695
733	0.131	5416	4943	5171	5399	711
740	0.13	5416	4922	5171	5404	709
747	0.132	5416	4914	5171	5397	719
753	0.134	5416	4903	5171	5400	727
760	0.135	5416	4915	5171	5403	734
766	0.135	5416	4905	5171	5397	735
773	0.137	5416	4910	5171	5395	743
780	0.137	5416	4886	5171	5399	747
786	0.139	5416	4896	5171	5397	756
793	0.141	5416	4884	5171	5389	766
800	0.141	5416	4899	5171	5400	766
806	0.141	5416	4891	5171	5403	767
813	0.144	5416	4883	5171	5406	785
819	0.142	5416	4877	5171	5397	774
826	0.144	5416	4886	5171	5399	785
833	0.147	5416	4876	5171	5397	799
839	0.147	5416	4858	5171	5388	800
846	0.147	5416	4882	5171	5395	800
852	0.149	5416	4880	5171	5405	811
859	0.151	5416	4868	5171	5392	818
866	0.152	5416	4850	5171	5391	826
872	0.152	5416	4856	5171	5393	828
879	0.153	5416	4850	5171	5398	829
886	0.155	5416	4856	5171	5398	844
892	0.158	5416	4853	5171	5402	858
899	0.156	5416	4845	5171	5391	848
905	0.158	5416	4819	5171	5402	856
912	0.162	5416	4791	5171	5387	882
919	0.16	5416	4838	5171	5393	868
925	0.162	5416	4826	5171	5392	881
932	0.159	5416	4827	5171	5395	866
938	0.164	5416	4827	5171	5399	890
945	0.164	5416	4810	5171	5402	891
952	0.167	5416	4779	5171	5385	909
958	0.166	5416	4820	5171	5389	901
965	0.168	5416	4797	5171	5395	913
971	0.169	5416	4806	5171	5390	918
978	0.172	5416	4775	5171	5402	935
985	0.171	5416	4792	5171	5389	931
991	0.174	5416	4775	5171	5387	947
998	0.174	5416	4760	5171	5393	944
1005	0.175	5416	4777	5171	5385	952
1011	0.177	5416	4769	5171	5393	964
1018	0.177	5416	4768	5171	5393	961
1024	0.181	5416	4760	5171	5389	981
1031	0.181	5416	4738	5171	5390	982
1038	0.182	5416	4741	5171	5392	988
1044	0.182	5416	4747	5171	5398	987
1051	0.182	5416	4777	5171	5390	987
1057	0.185	5416	4775	5171	5396	1002
1064	0.186	5416	4742	5171	5385	1008
1071	0.186	5416	4740	5171	5393	1009
1077	0.186	5416	4768	5171	5397	1008
1084	0.189	5416	4734	5171	5391	1026
1090	0.189	5416	4720	5171	5384	1026
1097	0.192	5416	4724	5171	5388	1042
1104	0.193	5416	4726	5171	5396	1050
1110	0.192	5416	4727	5171	5391	1044
1117	0.193	5416	4736	5171	5388	1049
1124	0.196	5416	4726	5171	5381	1064
1130	0.194	5416	4704	5171	5390	1053
1137	0.196	5416	4739	5171	5391	1064
