dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	19386	19386	14584	19386	0
42	0.004	19386	19366	14584	19383	84
84	0.008	19386	19354	14584	19380	163
127	0.012	19386	19328	14584	19381	236
169	0.016	19386	19321	14584	19384	321
212	0.019	19386	19297	14584	19379	381
254	0.023	19386	19263	14584	19377	456
297	0.026	19386	19262	14584	19374	521
339	0.03	19386	19242	14584	19377	594
382	0.033	19386	19220	14584	19369	657
424	0.037	19386	19212	14584	19377	723
466	0.041	19386	19177	14584	19369	801
509	0.044	19386	19131	14584	19372	858
551	0.047	19386	19143	14584	19369	929
594	0.05	19386	19137	14584	19371	975
636	0.055	19386	19098	14584	19367	1072
679	0.058	19386	19103	14584	19367	1125
721	0.06	19386	19069	14584	19365	1175
764	0.064	19386	19041	14584	19362	1257
806	0.067	19386	19036	14584	19365	1301
848	0.07	19386	19011	14584	19357	1376
891	0.072	19386	19013	14584	19355	1415
933	0.076	19386	18956	14584	19357	1491
976	0.078	19386	18986	14584	19356	1522
1018	0.083	19386	18917	14584	19349	1618
1061	0.085	19386	18925	14584	19350	1648
1103	0.089	19386	18864	14584	19339	1730
1146	0.091	19386	18841	14584	19351	1783
1188	0.093	19386	18867	14584	19353	1817
1230	0.098	19386	18813	14584	19344	1917
1273	0.099	19386	18824	14584	19336	1933
1315	0.103	19386	18792	14584	19336	2011
1358	0.107	19386	18761	14584	19340	2088
1400	0.106	19386	18775	14584	19328	2074
1443	0.11	19386	18741	14584	19336	2151
1485	0.115	19386	18692	14584	19326	2242
1528	0.117	19386	18718	14584	19325	2284
1570	0.12	19386	18655	14584	19333	2342
1612	0.122	19386	18675	14584	19343	2383
1655	0.126	19386	18611	14584	19325	2448
1697	0.128	19386	18605	14584	19338	2498
1740	0.131	19386	18591	14584	19322	2554
1782	0.133	19386	18578	14584	19322	2594
1825	0.136	19386	18535	14584	19318	2639
1867	0.139	19386	18574	14584	19322	2695
1910	0.142	19386	18516	14584	19313	2762
1952	0.145	19386	18508	14584	19320	2827
1994	0.148	19386	18467	14584	19322	2884
2037	0.151	19386	18465	14584	19320	2936
2079	0.152	19386	18447	14584	19314	2954
2122	0.156	19386	18400	14584	19314	3032
2164	0.159	19386	18389	14584	19307	3093
2207	0.16	19386	18398	14584	19314	3102
2249	0.161	19386	18465	14584	19317	3133
2292	0.165	19386	18338	14584	19310	3218
2334	0.168	19386	18352	14584	19315	3268
2376	0.171	19386	18303	14584	19304	3322
2419	0.175	19386	18298	14584	19318	3393
2461	0.178	19386	18267	14584	19293	3459
2504	0.18	19386	18253	14584	19289	3495
2546	0.181	19386	18214	14584	19302	3518
2589	0.185	19386	18205	14584	19312	3604
2631	0.186	19386	18220	14584	19290	3608
2674	0.189	19386	18168	14584	19289	3673
2716	0.19	19386	18143	14584	19295	3692
2758	0.195	19386	18112	14584	19285	3798
2801	0.197	19386	18131	14584	19285	3835
2843	0.198	19386	18114	14584	19288	3857
2886	0.201	19386	18101	14584	19274	3908
2928	0.204	19386	18067	14584	19293	3973
2971	0.207	19386	18057	14584	19285	4018
3013	0.21	19386	18030	14584	19289	4072
3056	0.213	19386	17969	14584	19280	4146
3098	0.216	19386	17960	14584	19286	4195
3141	0.218	19386	17944	14584	19261	4244
3183	0.221	19386	17947	14584	19284	4288
3225	0.224	19386	17958	14584	19283	4346
3268	0.224	19386	17920	14584	19280	4353
3310	0.227	19386	17896	14584	19261	4414
3353	0.228	19386	17914	14584	19276	4423
3395	0.233	19386	17823	14584	19256	4536
3438	0.233	19386	17799	14584	19266	4527
3480	0.235	19386	17828	14584	19261	4573
3523	0.238	19386	17751	14584	19265	4631
3565	0.244	19386	17783	14584	19265	4734
3607	0.242	19386	17762	14584	19272	4707
3650	0.247	19386	17756	14584	19259	4798
3692	0.249	19386	17679	14584	19255	4838
3735	0.252	19386	17683	14584	19244	4898
3777	0.256	19386	17670	14584	19267	4963
3820	0.257	19386	17654	14584	19267	4984
3862	0.258	19386	17664	14584	19248	5006
3905	0.262	19386	17613	14584	19246	5081
3947	0.263	19386	17579	14584	19232	5116
3989	0.266	19386	17571	14584	19243	5165
4032	0.269	19386	17565	14584	19255	5217
4074	0.272	19386	17516	14584	19245	5275
4117	0.272	19386	17515	14584	19262	5281
4159	0.274	19386	17491	14584	19259	5328
4202	0.277	19386	17488	14584	19261	5374
4244	0.279	19386	17473	14584	19242	5427
4287	0.281	19386	17449	14584	19255	5453
4329	0.287	19386	17408	14584	19251	5568
4371	0.284	19386	17474	14584	19235	5516
4414	0.288	19386	17411	14584	19243	5592
4456	0.29	19386	17394	14584	19236	5633
4499	0.293	19386	17344	14584	19234	5687
4541	0.296	19386	17344	14584	19230	5751
4584	0.3	19386	17307	14584	19245	5832
4626	0.3	19386	17311	14584	19242	5820
4669	0.303	19386	17262	14584	19227	5891
4711	0.304	19386	17247	14584	19233	5903
4753	0.307	19386	17248	14584	19235	5960
4796	0.311	19386	17173	14584	19232	6040
4838	0.31	19386	17241	14584	19228	6029
4881	0.311	19386	17147	14584	19199	6038
4923	0.313	19386	17178	14584	19225	6083
4966	0.319	19386	17173	14584	19225	6203
5008	0.322	19386	17135	14584	19220	6244
5051	0.322	19386	17135	14584	19220	6253
5093	0.324	19386	17068	14584	19202	6296
5135	0.325	19386	17086	14584	19222	6319
5178	0.33	19386	17040	14584	19221	6401
5220	0.333	19386	17000	14584	19204	6469
5263	0.335	19386	16974	14584	19198	6500
5305	0.335	19386	16997	14584	19218	6502
5348	0.339	19386	16951	14584	19190	6576
5390	0.344	19386	16898	14584	19206	6679
5433	0.343	19386	16944	14584	19215	6666
