dist	 eta-scaled	Opt	Trust	Greedy	TrustGreedy	 eta-unslaced
0	0	15321	15321	10348	15321	0
38	0.004	15321	15303	10348	15319	74
77	0.009	15321	15287	10348	15319	147
115	0.013	15321	15275	10348	15318	212
154	0.018	15321	15261	10348	15314	281
193	0.023	15321	15241	10348	15315	357
231	0.026	15321	15217	10348	15313	407
270	0.03	15321	15202	10348	15308	465
308	0.034	15321	15200	10348	15309	522
347	0.037	15321	15177	10348	15310	574
386	0.041	15321	15162	10348	15310	635
424	0.044	15321	15143	10348	15312	682
463	0.047	15321	15133	10348	15305	732
501	0.052	15321	15123	10348	15308	804
540	0.055	15321	15095	10348	15301	844
579	0.056	15321	15104	10348	15303	872
617	0.06	15321	15066	10348	15305	930
656	0.064	15321	15078	10348	15307	989
694	0.066	15321	15058	10348	15303	1022
733	0.071	15321	15016	10348	15300	1090
772	0.074	15321	14995	10348	15290	1147
810	0.076	15321	15014	10348	15296	1171
849	0.082	15321	14935	10348	15281	1261
887	0.083	15321	14956	10348	15294	1279
926	0.087	15321	14951	10348	15289	1344
965	0.089	15321	14927	10348	15289	1378
1003	0.092	15321	14915	10348	15280	1411
1042	0.095	15321	14893	10348	15283	1465
1080	0.096	15321	14876	10348	15285	1476
1119	0.099	15321	14885	10348	15288	1524
1158	0.104	15321	14871	10348	15279	1596
1196	0.106	15321	14857	10348	15287	1632
1235	0.108	15321	14827	10348	15272	1669
1273	0.111	15321	14830	10348	15279	1709
1312	0.116	15321	14787	10348	15277	1779
1351	0.116	15321	14812	10348	15281	1788
1389	0.121	15321	14757	10348	15281	1857
1428	0.124	15321	14756	10348	15276	1911
1466	0.127	15321	14756	10348	15273	1960
1505	0.132	15321	14708	10348	15272	2029
1544	0.134	15321	14672	10348	15260	2062
1582	0.135	15321	14676	10348	15274	2082
1621	0.139	15321	14679	10348	15274	2139
1659	0.141	15321	14641	10348	15264	2175
1698	0.143	15321	14617	10348	15257	2203
1737	0.149	15321	14594	10348	15261	2286
1775	0.15	15321	14590	10348	15265	2309
1814	0.152	15321	14613	10348	15261	2338
1852	0.155	15321	14563	10348	15267	2384
1891	0.159	15321	14513	10348	15254	2446
1930	0.161	15321	14516	10348	15250	2482
1968	0.164	15321	14489	10348	15255	2518
2007	0.168	15321	14457	10348	15257	2583
2045	0.169	15321	14483	10348	15243	2594
