; interval lengths generated from: Benchmark/NASA-iPSC-1993-3.1-cln.swf
; the first field is the interval length and the second is start time
; statistical data included at the end of the file
;
3726	1459
1067	5197
10927	6268
2927	17200
10	25573
716	26612
7	27330
69	27967
9	27988
9	28042
884	28254
75	29538
15	29615
176	30303
160	30541
229	30930
54	31315
237	31344
49	31657
104	31822
57	31828
19	31887
7	31928
181	32057
143	32288
7	32434
59	32462
4034	32512
14	32701
51	32973
10	33113
52	33199
147	33655
19	33805
60	33819
21	34420
200	34470
35	34545
8	34672
732	34855
7	35268
63	35571
10	35592
727	35662
53	36026
120	36148
133	36203
8	36395
166	36450
785	36640
151	36708
290	36715
5057	36717
593	36964
123	37086
152	37303
29	37435
71	37438
136	37561
172	37700
69	37825
566	37876
807	37904
70	38146
4750	38444
7	38715
3	40044
748	40335
78	40392
68	40729
9	40769
64	41016
16	41087
206	41251
74	41390
260	41501
138	41597
24	41758
37	41860
4	42023
4	42063
4	42071
14	42431
23	42450
19	42544
54	42601
500	42631
355	42669
235	42911
4	43043
29	43071
159	43136
1342	43179
594	43211
5	43325
1641	43393
134	43397
21	43506
134	43684
23	43700
80	43811
126	43911
5	43933
80	43940
135	44116
89	44315
8	44366
590	44444
493	44541
459	44575
27	44803
16	46157
13	46166
485	46209
935	46210
754	46460
488	46545
651	46725
424	47038
923	47244
2860	47394
180	47474
155	47690
4472	47965
8	48719
9	49002
12	49207
13	49622
106	50053
362	50368
1125	50738
12	50904
522	51170
17	51188
454	51237
4	51267
44	51309
21	51331
3	51499
83	51750
6	51817
175	51852
108	51920
222	51931
11	52127
372	52173
922	52614
6	52888
12	52911
3	52948
219	52984
38	53018
39	53072
142	53126
103	53128
60	53245
11	53325
24	53327
3	53373
71	53471
3	53589
11	54126
2689	54150
12	54594
161	54672
220	54884
253	54888
1268	55251
1207	55312
9	55611
9	56203
287	56705
224	56768
294	57077
232	57139
115	57411
183	57862
2683	58125
101	58761
12	59333
12	59617
10	60188
7	60519
247	61041
286	61048
243	61417
895	61495
221	61685
2674	62659
11	65099
9078	72004
10925	81087
6959	92019
4	102246
9	119098
8	119641
8	124268
19761	125454
15	145194
16	145219
107	145530
96	154803
393	155846
127	156281
176	157107
164	157453
112	157732
130	157898
103	158269
801	158406
136	158538
118	158975
90	159122
9627	159216
70	187721
641	187795
78	204540
84	204620
91	204706
84	204798
89	204884
82	204975
103	205058
102	205164
102	205268
103	205372
11	205498
196	209026
2429	209380
134	233468
135	234786
17	234923
247	235534
185	235948
153	237092
14	237246
19	237285
143	237801
14	237899
20	237946
9	237949
141	239819
17	239962
152	240035
19	240189
252	240318
208	241574
235	241853
172	242280
297	243490
9089	244805
3037	253898
9764	256939
9141	266708
1465	266711
8	271997
5	272012
5	272021
8	272029
304	272284
8	274131
9	274278
7	274461
6	274563
11	274675
15	275092
9	275185
11	275932
15	276246
10	276684
7	276929
7	279643
270	280994
17	281266
1248	281404
21	282653
4654	282757
21	283064
20	283112
56	283190
