; interval lengths generated from: Benchmark/UniLu-Gaia-2014-2.swf
; the first field is the interval length and the second is start time
; statistical data included at the end of the file
;
35541	477768
432024	83559
278442	195862
268225	278661
305581	339017
214651	339300
432006	340145
370083	340464
109634	352291
98910	352353
86412	354702
180824	369017
292929	369083
246546	370504
163668	370554
157777	370733
160148	370776
319797	371888
432004	371997
432010	372053
432005	372425
432007	372463
169423	381545
84779	424137
29600	426344
29590	426354
10142	426396
25001	427489
28157	427489
26588	427489
172812	427490
28043	427490
172812	427490
29331	427490
172812	427490
25680	427496
172806	427496
27546	427496
172806	427496
29020	427496
172806	427496
26609	427496
172806	427496
6988	430398
6849	430398
6678	430398
6600	430400
7011	430400
6808	430400
6636	430400
6528	430400
86402	430419
6700	430987
10219	430987
10219	430987
7132	430989
10217	430989
10217	430989
6918	430989
155390	430989
172811	430991
7106	430991
155944	430991
172811	430991
7588	430991
151909	430991
172811	430991
7077	430994
154066	430994
172808	430994
6906	430994
154207	430994
172808	430994
6734	430994
154609	430994
172806	430996
18491	431219
7210	431467
2702	431854
7209	432283
252	433367
43	433811
20	433874
20	433875
20	433876
21	433911
21	433911
20	433913
20	433913
22	433914
22	433914
22	433914
21	433916
21	433916
8301	433939
1749	434440
11	434724
11	434726
12	434727
11	434729
11	434730
11	434730
10	434835
584	435070
599	435076
593	435082
1042	435151
1119	435158
1451	435164
1091	435180
3889	435186
6356	435243
6311	435250
894	435359
161	435830
7211	436206
2396	437528
17	438108
171	438242
232	438593
234	439431
7205	439480
101	439612
7204	439648
204	439715
352	439735
6544	439742
6363	439750
714	439757
747	439764
885	439771
3921	439776
615	439788
646	439794
637	439799
4255	439808
4184	439808
4202	439808
1904	439808
2211	439810
2191	439810
4460	439810
4356	439810
1017	439817
1305	439820
1381	439825
230	439890
10	440089
722	440148
6372	440851
19760	441253
179	442474
178	444091
613	444564
6034	444838
56	444895
109	444953
1322	445027
46	445063
15907	445090
4626	445112
179	445541
193	445701
191	445706
432005	445830
504	445920
485	445928
1076	446350
938	446488
2652	446493
3210	446698
49	446716
7	447353
4	447402
970	447612
5425	447913
6178	447974
3539	448350
81	448988
181	449400
65	449739
3382	449819
7211	449978
2056	450153
86403	450971
303	451568
548	452842
1305	452847
131	453284
500	453340
195	453430
146	453445
80334	453753
86412	453805
1813	453833
1788	453859
16086	453881
86418	453901
86415	453925
86418	453945
30118	454034
29463	454034
28797	454036
28021	454036
6	454036
6	454036
27676	454036
27056	454038
26439	454038
25771	454038
6	454038
6	454038
1337	454310
32213	454310
31805	454310
33934	454311
33547	454311
3822	455972
12536	455978
2686	456212
150	457211
347194	459359
17856	459910
346400	459994
17681	460080
1032	460352
1402	460358
546	460426
21	460977
2	460989
432011	461293
28804	461301
5973	461527
219826	461624
7588	461750
1472	461914
28761	462472
1210	462201
1503	462240
28507	477124
5499	484591
3291	488174
5629	498666
5204	502292
2507	462744
154	463302
3508	463329
1266	463985
1264	465495
1232	466903
65861	467200
1279	467300
961	468008
2299	468535
1355	468582
3054	468589
813	468592
3054	468596
1253	468714
1072	470608
1358	470615
1256	470619
329	470628
1650	470850
192	471545
67029	472115
67396	472119
568	472541
570	472551
506	472562
477	472572
481	472583
506	472593
461	472604
413	472614
462	472625
451	472635
447	472646
422	472656
402	472667
405	472677
378	472688
401	472698
422	472709
409	472720
361	472730
358	472741
357	472751
358	472762
335	472772
304	472783
303	472793
291	472804
288	472814
